,MMS ID,Barcode,title,Author,Call Number,Permanent Location,Material Type,Process type,Description,Orders,Requests,Modification Date,Due Date
257,994127933606241,33082008173295,"A preliminary report on past, present and probable future population ...",Harland Bartholomew & Associates,NA9127.R5 H355 1941,Oversize Books,Book,Lost,,,,08-Nov-20,16-Sep
258,994127903606241,33082006623598,A preliminary report on the background and character of the city ...,Harland Bartholomew & Associates,NA9127.R5 H357 1941,Oversize Books,Book,Lost,,,,08-Nov-20,16-Sep
259,994128073606241,33082006623432,A preliminary report on transit facilities ...,Harland Bartholomew & Associates,NA9127.R5 H372 1944,Oversize Books,Book,Lost,,,,08-Nov-20,16-Sep
260,994128043606241,33082006623556,A preliminary report on transportation facilities ...,Harland Bartholomew & Associates,NA9127.R5 H375 1944,Oversize Books,Book,Lost,,,,08-Nov-20,16-Sep
261,994127873606241,33082006623424,The scope of the city plan ...,Harland Bartholomew & Associates,NA9127.R5 H38 1941,Oversize Books,Book,Lost,,,,08-Nov-20,16-Sep
262,996375143606241,33082007926826,Bridgman's complete guide to drawing from life / with drawings and text by George B. Bridgman ; edited by Howard Simon.,ridgman George Brant,NC760 .B825 2001,Oversize Books,Book,Lost,,,,03-Jan-21,14-Dec
263,993536853606241,33082004963889,The figure in action : anatomy for artists / Louise Gordon.,Gordon Louise,NC760 .G72 1989,Oversize Books,Book,Lost,,,,03-Jan-21,14-Dec
264,997526563606241,33082008656216,"Figure drawing : the structure, anatomy, and expressive design of human form / Nathan Goldstein ; foreword by Jack Beal.",Goldstein Nathan,NC765 .G64 2004,Oversize Books,Book,Lost,,,,03-Jan-21,14-Dec
265,9919382123606241,33082011946000,Arthur Dove. Always connect. Rachael Ziady DeLue.,DeLue Rachael Ziady,ND237.D67 D45 2016,Oversize Books,Book,Lost,,,,22-Dec-20,02-Dec
266,998729323606241,33082009918938,"Rocks : Franklin Carmichael, Arthur Lismer, and the Group of Seven / Joan Murray.",rray Joan,ND245.5.S4 M88 2006,Oversize Books,Book,Lost,,,,22-Dec-20,02-Dec
267,9915789563606241,33082011689469,Emily Carr collected / introduction by Ian Thom.,Carr Emily,ND249.C3 A4 2013,Oversize Books,Book,Lost,,,,22-Dec-20,02-Dec
268,997824023606241,33082008843764,Seven journeys : the sketchbooks of Emily Carr / Doris Shadbolt.,Shadbolt Doris,ND249.C3 S55 2002,Oversize Books,Book,Lost,,,,22-Dec-20,02-Dec
269,9915958853606241,33082011714911,Violence & virtue : Artemisia Gentileschi's Judith slaying Holofernes / Eve Straussman-Pflanzer.,Straussman-Pflanzer Eve,ND623.G364 A66 2013,Oversize Books,Book,Lost,,,,23-Jun-20,11-Jun
270,9915958583606241,33082011714408,"Art and appetite : American painting, culture, and cuisine / edited by Judith A. Barter ; with essays by Judith A. Barter, Annelise K. Madsen, Sarah Kelly Oehler, and Ellen E. Roberts.",arter Judith A,ND1460.F64 A66 2013,Oversize Books,Book,Lost,,,,08-Nov-20,16-Sep
271,998028923606241,33082008968181,Color : a course in mastering the art of mixing colors  / Betty Edwards.,Edwards Betty,ND1488 .E35 2004,Oversize Books,Book,Lost,,,,22-Dec-20,02-Dec
272,993058483606241,33082001327062,Winslow Homer watercolors / Helen A. Cooper.,Cooper Helen A,ND1839.H6 A4 1986,Oversize Books,Book,Lost,,,,22-Dec-20,02-Dec
273,995573423606241,33082005906689,Georgia O'Keeffe : Canyon suite / introd. by Barbara J. Bloemink.,O'Keeffe Georgia,ND1839.O5 A4 1995,Oversize Books,Book,Lost,,,,22-Dec-20,02-Dec
274,999755483606241,33082010084241,Cézanne's watercolors : between drawing and painting / Matthew Simms.,Simms Matthew Thomas,ND1950.C4 S56 2008,Oversize Books,Book,Lost,,,,22-Dec-20,02-Dec
275,994934393606241,33082006557523,"Scenic art for the theatre : history, tools, and techniques / Susan Crabtree and Peter Beudert.",Crabtree Susan,ND2885 .C73 1998,Oversize Books,Book,Lost,,,,07-Nov-20,16-Sep
276,99177903606241,33082007110371,In good hands : the women of the Canadian Handicrafts Guild / Ellen Easton McLeod.,Leod Ellen Mary Easton,NK841 .M344 1999,Oversize Books,Book,Lost,,,,22-Nov-20,01-Oct
277,998448593606241,33082008929571,"Sexuality and gender in early modern Europe : institutions, texts, images / edited by James Grantham Turner.",Turner James,NX180.F4 S488 1995,Oversize Books,Book,Lost,,,,08-Nov-20,16-Sep
278,998606073606241,33082009886408,Women artists at the millennium / edited by Carol Armstrong and Catherine de Zegher.,Armstrong Carol M,NX180.F4 W655 2006,Oversize Books,Book,Lost,,,,21-Dec-20,13-Nov
279,995890193606241,33082007543902,Visualizations : the nature book of art and science / Martin Kemp.,Kemp Martin,NX180.S3 K46 2000,Oversize Books,Book,Lost,,,,08-Nov-20,16-Sep
280,9924281523606241,33082012529615,"Straight talk about communication research methods / Christine S. Davis, Kenneth A. Lachlan, with contributor Robert Westerfelhaus.",Davis Christine S,P91 .D367 2017,Books,Book,Lost,,,,21-Nov-20,01-Oct
281,998525573606241,33082011441960,Beautiful evidence / Edward R. Tufte.,Tufte Edward R,P93.5 .T837 2006,Books,Book,Lost,,,,07-Dec-20,12-Nov
282,9925795713606241,33082012521562,"Meander, spiral, explode : design and pattern in narrative / Jane Alison.",Alison Jane,P302.7 .A515 2019,Books,Book,Lost,,,,22-Nov-20,01-Oct
283,998093313606241,33082010059599,A guide to ancient Greek drama / Ian C. Storey and Arlene Allan.,Storey Ian Christopher,PA3131 .S83 2005,Books,Book,Lost,,,,03-Jan-21,14-Dec
284,9915792233606241,33082011697942,"The court of comedy : Aristophanes, rhetoric, and democracy in fifth-century Athens / Wilfred E. Major.",ajor Wilfred E,PA3265 .M34 2013,Books,Book,Lost,,,,03-Jan-21,14-Dec
285,991888033606241,33082003842993,"The people of Aristophanes, a sociology of old Attic comedy.",Ehrenberg Victor,PA3879 .E5x,Books,Book,Lost,,,,03-Jan-21,14-Dec
286,994271033606241,33082006530934,The Georgics of Virgil : a critical survey / L.P. Wilkinson ; with a foreword and bibliography by Niall Rudd.,Wilkinson L P,PA6804.G4 W5 1997,Books,Book,Lost,,,,03-Jan-21,14-Dec
287,9916553343606241,33082011656401,Huellas de las literaturas hispanoamericanas / John F. Garganigo ... [and others].,Garganigo John F,PC4117 .H84 2002,Books,Book,Lost,,,,07-Nov-20,16-Sep
288,991160503606241,33082003609673,Soviet Socialist realism; origins and theory [by] C. Vaughan James.,James C V,PG3026.S58 J3,Books,Book,Lost,,,,28-Dec-20,08-Dec
289,995898273606241,33082006898737,Anna Karenina : a novel in eight parts / Leo Tolstoy ; translated by Richard Pevear and Larissa Volokhonsky.,Tolstoy Leo,PG3366 .A6 2001,Books,Book,Lost,,,,21-Dec-20,25-Jul
290,998474403606241,33082009480079,Novel with cocaine / M. Ageyev ; translated by Michael Henry Heim.,Agi͡eev M,PG3476.A3164 R613 1998,Books,Book,Lost,,,,08-Nov-20,16-Sep
291,995637243606241,33082006000433,The master & Margarita / Mikhail Bulgakov ; translated by Diana Burgin & Katherine Tiernan O'Connor ; annotations & afterword by Ellendea Proffer.,lgakov Mikhail,PG3476.B78 M313 1995,Books,Book,Lost,,,,23-Jun-20,17-Jun
292,997132043606241,33082008112749,Pushkin's children : writings on Russia and Russians / Tatyana Tolstaya ; translated by Jamey Gambrell ; [introduction by Alma Guillermoprieto].,Tolstai͡a Tatʹi͡ana,PG3476.T58 A24 2003,Books,Book,Lost,,,,08-Nov-20,16-Sep
293,997140893606241,33082008165911,The slynx / Tatyana Tolstaya ; translated by Jamey Gambrell.,Tolstai͡a Tatʹi͡ana,PG3476.T58 K9713 2003,Books,Book,Lost,,,,08-Nov-20,16-Sep
294,997690133606241,33082008838293,"Tantric treasures : three collections of mystical verse from Buddhist India / introduced, translated, and annotated by Roger R. Jackson.",Jackson Roger R,PK1428.T36 Z9 2004,Books,Book,Lost,,,,03-Jan-21,14-Dec
295,9923772983606241,33082012430020,Convenience store woman : a novel / Sayaka Murata ; translated from the Japanese by Ginny Tapley Takemori.,rata Sayaka,PL873.U73 C6613 2018,Books,Book,Lost,,,,21-Dec-20,09-Jan
296,992884903606241,33082003777199,The carnal prayer mat (Rou putuan) / Li Yu ; translated with an introduction and notes by Patrick Hanan.,Li Yu,PL2698.L52 J613 1990,Books,Book,Lost,,,,08-Nov-20,16-Sep
297,992996323606241,33082003363321,Decolonising the mind : the politics of language in African literature / Ng~ug~i wa Thiong'o.,Ngũgĩ wa Thiongʼo,PL8010 .N48 1986,Books,Book,Lost,,,,20-Dec-20,30-Nov
298,9926946193606241,33082012605894,"Character : three inquiries in literary studies / Amanda Anderson, Rita Felski, Toril Moi.",Anderson Amanda,PN56.4 .C48 2019,Books,Book,Lost,,,,21-Nov-20,01-Oct
299,991410953606241,33082000898972,Toward an aesthetic of reception / Hans Robert Jauss ; translation from German by Timothy Bahti ; introduction by Paul de Man.,Jauss Hans Robert,PN98.R38 J38 1982,Books,Book,Lost,,,,23-Jun-20,13-Feb
300,998260133606241,33082009341602,"The rhetorical tradition : readings from classical times to the present / edited by Patricia Bizzell, Bruce Herzberg.",zzell Patricia,PN183 .R46 2001,Books,Book,Lost,,,,08-Nov-20,16-Sep
301,999129163606241,33082010176484,"The world within : writers talk ambition, angst, aesthetics, bones, books, beautiful bodies, censorship, cheats, comics, darkness, democracy, death, exile, failure, guns, misery, muses, movies, old boys' network, Oprah, outcasts, sex, suicide, smoking, strippers, torture, Vietnam, VD, violence, and more.",Portland OR : Tin House Books,PN452 .W67 2007,Books,Book,Lost,,,,08-Nov-20,16-Sep
302,994270563606241,33082006578370,Aristotle's Poetics / translated and with a commentary by George Whalley ; edited by John Baxter and Patrick Atherton.,Whalley George,PN1040.A5 W45 1997,Books,Book,Lost,,,,03-Jan-21,14-Dec
303,998717243606241,33082009914358,The senses in performance / edited by Sally Banes and André Lepecki.,anes Sally,PN1584 .S46 2007,Books,Book,Lost,,,,03-Jan-21,14-Dec
304,994605383606241,33082005347173,The open door : thoughts on acting and theatre / Peter Brook.,rook Peter,PN1655 .B75 1993,Books,Book,Lost,,,,03-Jan-21,14-Dec
305,9912105953606241,33082011001590,Film in the Middle East and North Africa : creative dissidence / edited by Josef Gugler.,Gugler Josef,PN1993.5.M53 F55 2011,Books,Book,Lost,,,,22-Nov-20,01-Oct
